#,MediaPose,Mixamo
12,Left shoulder,LeftArm
11,Right shoulder,RightArm
14,Left elbow,LeftForeArm
13,Right elbow,RightForeArm
16,Left wrist,LeftHand
15,Right wrist,RightHand
24,Left hip,LeftUpLeg
23,Right hip,RightUpLeg
26,Left knee,LeftLeg
25,Right knee,RightLeg
28,Left ankle,LeftFoot
27,Right ankle,RightFoot
